score,v,font
0,VB-,1a
1,VB-,1a
2,VB-,1a+
3,VB-,1a+
4,VB-,1b
5,VB-,1b
6,VB-,1b+
7,VB-,1b+
8,VB-,1c
9,VB-,1c
10,VB-,1c+
11,VB-,1c+
12,VB,2a
13,VB,2a
14,VB,2a+
15,VB,2a+
16,VB,2b
17,VB,2b
18,VB,2b+
19,VB,2b+
20,VB,2c
21,VB,2c
22,VB,2c+
23,VB,2c+
24,VB+,3a
25,VB+,3a
26,VB+,3a+
27,VB+,3a+
28,VB+,3b
29,VB+,3b
30,VB+,3b+
31,VB+,3b+
32,VB+,3c
33,VB+,3c
34,VB+,3c+
35,VB+,3c+
36,V0-,4a
37,V0-,4a
38,V0-,4a+
39,V0-,4a+
40,V0,4b
41,V0,4b
42,V0,4b+
43,V0,4b+
44,V0+,4c
45,V0+,4c
46,V0+,4c+
47,V0+,4c+
48,V1,5a
49,V1,5a
50,V1,5a+
51,V1,5a+
52,V1,5b
53,V2,5b
54,V2,5b+
55,V2,5b+
56,V2,5c
57,V2,5c
58,V3,5c+
59,V3,5c+
60,V3,6a
61,V3,6a
62,V3,6a+
63,V4,6a+
64,V4,6b
65,V4,6b
66,V4,6b+
67,V4,6b+
68,V5,6c
69,V5,6c
70,V5,6c+
71,V6,6c+
72,V6,7a
73,V6,7a
74,V7,7a+
75,V7,7a+
76,V7,7b
77,V8,7b
78,V8,7b+
79,V8,7b+
80,V9,7c
81,V9,7c
82,V10,7c+
83,V10,7c+
84,V11,8a
85,V11,8a
86,V12,8a+
87,V12,8a+
88,V13,8b
89,V13,8b
90,V14,8b+
91,V14,8b+
92,V15,8c
93,V15,8c
94,V16,8c+
95,V16,8c+
96,V17,9a
97,V17,9a
98,V18,9a+
99,V18,9a+
100,V19,9b
101,V19,9b
102,V20,9b+
103,V20,9b+
104,V21,9c
105,V21,9c
106,V22,9c+
107,V22,9c+
