Score,WI,AI
0,WI1,AI1
1,WI1,AI1
2,WI1,AI1
3,WI1,AI1
4,WI2,AI2
5,WI2,AI2
6,WI2,AI2
7,WI2,AI2
8,WI3,AI3
9,WI3,AI3
10,WI3,AI3
11,WI3,AI3
12,WI3+,AI3+
13,WI3+,AI3+
14,WI3+,AI3+
15,WI3+,AI3+
16,WI4,AI4
17,WI4,AI4
18,WI4,AI4
19,WI4,AI4
20,WI4+,AI4+
21,WI4+,AI4+
22,WI4+,AI4+
23,WI4+,AI4+
24,WI5,AI5
25,WI5,AI5
26,WI5,AI5
27,WI5,AI5
28,WI5+,AI5+
29,WI5+,AI5+
30,WI5+,AI5+
31,WI5+,AI5+
32,WI6,AI6
33,WI6,AI6
34,WI6,AI6
35,WI6,AI6
36,WI6+,AI6+
37,WI6+,AI6+
38,WI6+,AI6+
39,WI6+,AI6+
40,WI7,AI7
41,WI7,AI7
42,WI7,AI7
43,WI7,AI7
44,WI7+,AI7+
45,WI7+,AI7+
46,WI7+,AI7+
47,WI7+,AI7+
48,WI8,AI8
49,WI8,AI8
50,WI8,AI8
51,WI8,AI8
52,WI8+,AI8+
53,WI8+,AI8+
54,WI8+,AI8+
55,WI8+,AI8+
56,WI9,AI9
57,WI9,AI9
58,WI9,AI9
59,WI9,AI9
60,WI9+,AI9+
61,WI9+,AI9+
62,WI9+,AI9+
63,WI9+,AI9+
64,WI10,AI10
65,WI10,AI10
66,WI10,AI10
67,WI10,AI10
68,WI10+,AI10+
69,WI10+,AI10+
70,WI10+,AI10+
71,WI10+,AI10+
72,WI11,AI11
73,WI11,AI11
74,WI11,AI11
75,WI11,AI11
76,WI12,AI12
77,WI12,AI12
78,WI12,AI12
79,WI12,AI12
80,WI12+,AI12+
81,WI12+,AI12+
82,WI12+,AI12+
83,WI12+,AI12+
84,WI13,AI13
85,WI13,AI13
86,WI13,AI13
87,WI13,AI13
88,WI13+,AI13+
89,WI13+,AI13+
90,WI13+,AI13+
91,WI13+,AI13+
