score,ircra,yds,french,font,vscale,ewbank,uiaa,brazilian_crux
1,1,5.1,1,,,4,1,Isup
2,2,5.2,2,,,6,2,II
3,3,5.3,2+,,,8,3|3+,IIsup
4,4,5.4,3-,,,8|10,3+|4,III
5,5,5.5,3,,,10,4|4+,IV
6,6,5.6,3+,,,12,4+|5-,V
7,7,5.7,4,,,14,5-|5,V
8,8,5.8,4+,,,16,5+,Vsup
9,9,5.9,5,<2,VB,16,6-,Vsup
10,10,5.10a,5+,,,18,6,VI
11,11,5.10b,6a,3,V0-,19,6+,VI
12,12,5.10c,6a+,4,V0,19|20,7-,VIsup
13,13,5.10d,6b,4+,V0+,20,7,VIsup
14,14,5.11a,6b+,5,V1,21,7|7+,VIIa
15,15,5.11b,6c,5+|6a,V2,22,7+,VIIb
16,16,5.11c,6c+,6a|6a+,V2|V3,22,8-,VIIb
17,17,5.11d,7a,6a+|6b,V3,23,8,VIIc
18,18,5.12a,7a+,6b+|6c,V4,24,8+,VIIIa
19,19,5.12b,7b,6c|6c+,V5,25,9-,VIIIb
20,20,5.12c,7b+,6c+|7a,V6,26,9-,VIIIc
21,21,5.12d,7c,7a+,V7,27,9,IXa
22,22,5.13a,7c+,7b,V8,28,9+,IXb
23,23,5.13b,8a,7b+,V8|V9,29,10-,IXc
24,24,5.13c,8a+,7c,V9,30,10,Xa
25,25,5.13d,8b,7c+,V10,31,10|10+,Xb
26,26,5.14a,8b+,8a,V11,32,10+,Xc
27,27,5.14b,8c,8a+,V12,33,11-,XIa
28,28,5.14c,8c+,8b,V13,34,11,XIb
29,29,5.14d,9a,8b|8b+,V13|V14,35,11|11+,XIc
30,30,5.15a,9a+,8b+|8c,V14|V15,36,11+,XIIa
31,31,5.15b,9b,8c,V15,37,12-,XIIb
32,32,5.15c,9b+,8c+,V16,38,12,XIIc
