Score,Yosemite,French,UIAA,Ewbank,Saxon
0,5.0,1a,1,1,1
1,5.0,1a,1,1,1
2,5.0,1a+,1,1,1
3,5.0,1a+,1,1,1
4,5.0,1b,1,1,1
5,5.0,1b,1,2,1
6,5.0,1b+,1,2,1
7,5.0,1b+,1,2,1
8,5.0,1c,1,2,1
9,5.0,1c,1,2,1
10,5.0,1c+,1,3,1
11,5,1c+,1,4,1
12,5.1,2a,2,5,2
13,5.1,2a,2,5,2
14,5.1,2a+,2,5,2
15,5.1,2a+,2,6,2
16,5.1,2b,2,6,2
17,5.1,2b,2,6,2
18,5.2,2b+,2,7,2
19,5.2,2b+,2,7,2
20,5.2,2c,2,7,2
21,5.2,2c,2,7,2
22,5.3,2c+,2,8,2
23,5.3,2c+,2,8,2
24,5.3,3a,3,9,3
25,5.3,3a,3,9,3
26,5.4,3a+,3,10,3
27,5.4,3a+,3,10,3
28,5.4,3b,3,10,3
29,5.4,3b,3,10,3
30,5.4,3b+,3,10,3
31,5.5,3b+,3,11,3
32,5.5,3c,3,11,3
33,5.5,3c,3,12,3
34,5.5,3c+,3,12,3
35,5.5,3c+,3,12,3
36,5.6,4a,4,13,4
37,5.6,4a,4,13,4
38,5.6,4a+,4+,13,4
39,5.6,4a+,4+,13,4
40,5.6,4b,4+,13,5
41,5.7,4b,4+,14,5
42,5.7,4b+,5-,14,5
43,5.7,4b+,5-,14,5
44,5.7,4c,5-,15,5
45,5.7,4c,5-,15,5
46,5.8,4c+,5,16,6
47,5.8,4c+,5,16,6
48,5.8,5a,5,16,7a
49,5.8,5a,5,16,7a
50,5.8,5a+,5+,16,7a
51,5.8,5a+,5+,16,7a
52,5.9,5b,5+,17,7a
53,5.9,5b,5+,17,7a
54,5.9,5b+,6-,17,7b
55,5.9,5b+,6-,17,7b
56,5.9,5c,6,17,7b
57,5.10a,5c,6,18,7b
58,5.10a,5c+,6+,18,7c
59,5.10a,5c+,6+,18,7c
60,5.10a,6a,6+,18,7c
61,5.10a,6a,6+,18,7c
62,5.10b,6a+,7-,19,8a
63,5.10b,6a+,7-,19,8a
64,5.10c,6b,7,20,8b
65,5.10c,6b,7,20,8b
66,5.10d,6b+,7+,20,8c
67,5.11a,6b+,7+,21,8c
68,5.11a,6c,7+/8-,21,9a
69,5.11b,6c,7+/8-,22,9a
70,5.11b,6c+,8-,22,9a
71,5.11c,6c+,8-,23,9a
72,5.11c,7a,8,23,9b
73,5.11d,7a,8,23,9b
74,5.11d,7a+,8+,24,9c
75,5.12a,7a+,8+,24,9c
76,5.12b,7b,8+/9-,25,10a
77,5.12b,7b,8+/9-,25,10a
78,5.12c,7b+,9-,26,10a
79,5.12c,7b+,9-,26,10a
80,5.12d,7c,9,27,10b
81,5.12d,7c,9,27,10b
82,5.13a,7c+,9+,28,10c
83,5.13a,7c+,9+,28,10c
84,5.13b,8a,10-,29,10c
85,5.13b,8a,10-,29,10c
86,5.13c,8a+,10,30,11b
87,5.13c,8a+,10,30,11b
88,5.13d,8b,10+,31,11c
89,5.13d,8b,10+,31,11c
90,5.14a,8b+,10+/11-,32,11c
91,5.14a,8b+,10+/11-,32,11c
92,5.14b,8c,11-,33,12a
93,5.14b,8c,11-,33,12a
94,5.14c,8c+,11,34,12b
95,5.14c,8c+,11,34,12b
96,5.14d,9a,11,35,12c
97,5.14d,9a,11,35,12c
98,5.15a,9a+,11/11+,36,13a
99,5.15a,9a+,11/11+,36,13a
100,5.15b,9b,11+,37,13b
101,5.15b,9b,11+,37,13b
102,5.15c,9b+,11+/12-,38,13b
103,5.15c,9b+,11+/12-,38,13b
104,5.15d,9c,12-,39,13c
105,5.15d,9c,12-,39,13c
106,5.16a,9c+,12,40,13c
107,5.16a,9c+,12,40,13c
